,seqnames,start,end,width,strand,Conc,Conc_0.mM,Conc_10.mM,Fold,p.value,FDR
1,chr12,6719795,6720295,501,*,7.3,3.99,8.22,-4.23,1.18E-69,1.46E-64
2,chr14,23646746,23647246,501,*,7.23,4.22,8.13,-3.91,8.14E-65,5.05E-60
3,chr19,2392765,2393265,501,*,6.7,4.04,7.58,-3.54,2.32E-48,9.60E-44
4,chrX,23786476,23786976,501,*,7.84,5.52,8.69,-3.16,1.35E-47,4.18E-43
5,chr10,90912914,90913414,501,*,7.85,5.59,8.7,-3.1,4.19E-47,1.04E-42
6,chr10,90913746,90914246,501,*,6.71,4.05,7.59,-3.54,1.98E-45,4.10E-41
7,chr12,6716783,6717283,501,*,6.33,3.57,7.22,-3.65,7.80E-44,1.38E-39
8,chr16,21629224,21629724,501,*,6.28,3.22,7.19,-3.97,5.86E-43,9.09E-39
9,chr19,32693272,32693772,501,*,7.63,5.87,8.4,-2.52,9.82E-42,1.35E-37
10,chr19,16332066,16332566,501,*,6.89,4.38,7.76,-3.39,4.90E-41,6.09E-37
11,chr7,101349258,101350193,936,*,7.15,5.14,7.96,-2.82,7.78E-41,8.78E-37
12,chr17,68081513,68082013,501,*,6.37,3.61,7.26,-3.64,1.96E-39,2.03E-35
13,chr12,52060114,52060614,501,*,9.35,7.55,10.12,-2.58,3.02E-39,2.88E-35
14,chr20,31542134,31542634,501,*,7.51,5.94,8.24,-2.31,2.59E-38,2.30E-34
15,chrX,107712443,107712943,501,*,6.48,4.28,7.32,-3.03,5.62E-38,4.65E-34
16,chr12,7923231,7923731,501,*,7.74,5.87,8.53,-2.66,2.50E-36,1.94E-32
17,chr17,78962255,78962755,501,*,7.77,6.29,8.49,-2.2,3.15E-36,2.30E-32
18,chr11,35166599,35167099,501,*,6.28,4.03,7.12,-3.09,1.31E-35,9.01E-32
19,chr9,130950687,130951612,926,*,7,5.26,7.76,-2.5,6.35E-35,4.15E-31
20,chr4,141327673,141328173,501,*,5.74,1.96,6.69,-4.72,1.70E-34,1.05E-30
21,chr5,115928547,115929047,501,*,6.93,5.19,7.69,-2.5,3.43E-34,2.03E-30
22,chr19,55024192,55024692,501,*,6.41,4.04,7.26,-3.23,1.46E-33,8.25E-30
23,chr7,101139418,101139918,501,*,8.53,6.86,9.28,-2.42,6.31E-33,3.41E-29
24,chr20,57349042,57349542,501,*,6.41,4.13,7.25,-3.12,1.54E-32,7.97E-29
25,chr12,6708910,6709410,501,*,6.27,3.72,7.14,-3.42,7.75E-32,3.85E-28
26,chr6,30804698,30805198,501,*,6.08,3.61,6.95,-3.34,1.15E-31,5.50E-28
27,chr14,23639500,23640000,501,*,5.8,2.79,6.71,-3.92,1.37E-31,6.30E-28
28,chr7,98560007,98560507,501,*,7.23,5.71,7.96,-2.25,5.45E-31,2.42E-27
29,chr10,90911578,90912078,501,*,8.61,7.06,9.34,-2.28,8.55E-31,3.66E-27
