,seqnames,start,end,width,strand,Conc,Conc_10.mM,Conc_10.mM,Fold,p.value,FDR
1,chr12,52146732,52147232,501,*,11.32,8.52,12.22,-3.7,2.26E-65,2.06E-60
2,chr2,47033498,47033998,501,*,10.26,7.32,11.16,-3.84,1.16E-59,5.29E-55
3,chr14,104972892,104973392,501,*,9.52,6.38,10.44,-4.06,1.64E-58,5.00E-54
4,chr17,77286135,77286635,501,*,9.4,6.27,10.32,-4.05,3.92E-54,8.95E-50
5,chr3,139301481,139301981,501,*,9.85,6.83,10.76,-3.93,6.24E-54,1.14E-49
6,chr2,231605082,231605582,501,*,8.52,4.48,9.47,-4.99,6.80E-52,1.04E-47
7,chr19,45451182,45451682,501,*,9.26,5.94,10.18,-4.24,1.01E-51,1.32E-47
8,chr12,13101487,13101987,501,*,9.31,6.19,10.23,-4.04,3.86E-51,4.41E-47
9,chr2,113217833,113218333,501,*,8.93,5.48,9.86,-4.38,7.08E-51,7.18E-47
10,chr14,105481139,105481639,501,*,8.79,5.02,9.74,-4.73,6.66E-49,6.08E-45
11,chr13,24149663,24150163,501,*,9.43,6.57,10.33,-3.76,7.79E-49,6.47E-45
12,chr11,68121857,68122357,501,*,9.06,5.85,9.98,-4.13,1.13E-48,8.56E-45
13,chr12,6279146,6279646,501,*,9.23,6.21,10.14,-3.93,4.13E-48,2.90E-44
14,chr17,65402996,65403496,501,*,9.28,6.04,10.2,-4.16,1.23E-47,8.00E-44
15,chr7,55133207,55133707,501,*,9.39,6.53,10.28,-3.75,1.06E-46,6.47E-43
16,chr7,101017127,101017627,501,*,9.13,6.09,10.04,-3.95,2.35E-45,1.34E-41
17,chr7,813577,814077,501,*,9,5.44,9.93,-4.49,2.88E-45,1.55E-41
18,chr7,832341,832841,501,*,9.22,6.47,10.1,-3.63,3.50E-44,1.78E-40
19,chr11,16982033,16982533,501,*,8.61,5.41,9.53,-4.12,5.52E-44,2.66E-40
20,chr11,69137770,69138270,501,*,8.93,5.9,9.84,-3.94,4.72E-43,2.16E-39
21,chr9,133133581,133134081,501,*,8.85,5.32,9.79,-4.47,6.06E-43,2.63E-39
22,chr9,136901909,136902409,501,*,10.03,7.55,10.9,-3.34,1.41E-41,5.84E-38
23,chr5,138467116,138467616,501,*,9.62,6.92,10.5,-3.58,1.85E-41,7.36E-38
24,chr17,81095462,81095962,501,*,8.97,5.27,9.91,-4.65,2.49E-41,9.49E-38
25,chr15,41894234,41894734,501,*,8.85,5.93,9.75,-3.83,1.71E-40,6.26E-37
26,chr17,78883826,78884326,501,*,8.93,6.14,9.82,-3.68,4.33E-40,1.52E-36
27,chr17,65515150,65515650,501,*,8.72,5.76,9.62,-3.86,6.14E-40,2.08E-36
28,chr2,10013798,10014298,501,*,8.37,4.5,9.32,-4.82,4.82E-39,1.57E-35
29,chr20,38434836,38435336,501,*,9.27,6.81,10.13,-3.32,5.81E-38,1.83E-34
30,chr8,125698235,125698735,501,*,10.63,8.79,11.41,-2.62,7.39E-38,2.25E-34
31,chr20,47259337,47259837,501,*,9.18,6.73,10.04,-3.31,8.45E-38,2.49E-34
32,chr5,176822710,176823210,501,*,8.99,6.09,9.89,-3.8,1.01E-37,2.88E-34
33,chr17,41653493,41653993,501,*,8.49,4.87,9.43,-4.56,1.49E-37,4.13E-34
34,chr7,76423938,76424438,501,*,8.68,5.72,9.59,-3.86,2.65E-37,7.11E-34
35,chr6,1201118,1201618,501,*,9.37,6.87,10.24,-3.37,3.54E-37,9.24E-34
36,chr3,38039205,38039705,501,*,8.48,5.39,9.39,-4.01,5.28E-37,1.34E-33
37,chr20,51532694,51533194,501,*,9.31,6.62,10.2,-3.58,1.38E-36,3.40E-33
38,chr3,47282113,47282613,501,*,8.58,5.55,9.49,-3.94,1.80E-36,4.34E-33
39,chr15,100721363,100721863,501,*,9.17,6.49,10.05,-3.56,2.25E-36,5.26E-33
40,chr4,3483901,3484401,501,*,8.79,5.98,9.69,-3.71,3.40E-36,7.77E-33
41,chr17,82217233,82217733,501,*,9.09,6.54,9.96,-3.43,3.63E-36,8.09E-33
42,chr20,35741810,35742310,501,*,9.76,7.68,10.57,-2.89,5.88E-36,1.28E-32
43,chr3,156826130,156826630,501,*,9.49,7.2,10.33,-3.13,7.43E-36,1.58E-32
44,chr17,58006732,58007232,501,*,8.81,6,9.71,-3.7,1.13E-35,2.35E-32
45,chr7,1940039,1940539,501,*,8.68,5.8,9.58,-3.78,5.36E-35,1.09E-31
46,chr14,75277213,75277713,501,*,7.97,4.39,8.9,-4.51,5.59E-35,1.11E-31
47,chr18,12287639,12288139,501,*,8.29,5.37,9.2,-3.83,1.08E-34,2.09E-31
48,chr22,36328909,36329409,501,*,8.67,5.95,9.56,-3.61,1.84E-34,3.50E-31
49,chr3,48465801,48466301,501,*,9.55,7.36,10.39,-3.03,2.01E-34,3.74E-31
50,chr19,49817618,49818118,501,*,8.2,5.21,9.11,-3.9,4.02E-34,7.34E-31
51,chr1,201310578,201311078,501,*,8.19,5.13,9.1,-3.97,4.16E-34,7.46E-31
52,chr7,73742423,73742923,501,*,9.51,7.32,10.35,-3.03,1.13E-33,1.98E-30
53,chr1,204103850,204104350,501,*,8.44,5.71,9.33,-3.62,1.59E-33,2.73E-30
54,chr7,157309364,157309864,501,*,9.99,7.67,10.84,-3.17,1.64E-33,2.77E-30
55,chr12,6273337,6273837,501,*,8.46,5.39,9.37,-3.97,1.69E-33,2.80E-30
56,chr11,71794540,71795040,501,*,8.22,5.27,9.12,-3.85,2.98E-33,4.85E-30
57,chr6,73520427,73520927,501,*,10.15,8.06,10.97,-2.91,8.46E-33,1.36E-29
58,chr1,181104724,181105224,501,*,8.1,5.12,9,-3.89,9.57E-33,1.51E-29
59,chr7,538712,539212,501,*,9.11,6.77,9.96,-3.18,1.92E-32,2.97E-29
60,chr10,11899100,11899600,501,*,9.08,6.28,9.97,-3.69,2.41E-32,3.67E-29
61,chr20,43457790,43458290,501,*,9.37,7.06,10.22,-3.16,2.48E-32,3.71E-29
62,chr1,44807805,44808305,501,*,8.95,6.38,9.82,-3.44,3.54E-32,5.22E-29
63,chr6,151060294,151060794,501,*,8.25,5.41,9.15,-3.74,4.55E-32,6.59E-29
64,chr17,81043390,81043890,501,*,8.25,5.46,9.15,-3.69,4.80E-32,6.85E-29
65,chr11,46363155,46363655,501,*,8.19,5.19,9.1,-3.91,1.15E-31,1.62E-28
66,chr2,47042993,47043493,501,*,9.54,7.54,10.34,-2.81,1.43E-31,1.98E-28
67,chr1,15799409,15799909,501,*,8.85,6.37,9.71,-3.34,1.74E-31,2.37E-28
68,chr19,35318431,35318931,501,*,9.31,7.25,10.13,-2.88,2.08E-31,2.79E-28
69,chr19,38304219,38304719,501,*,8.84,6.12,9.72,-3.61,2.55E-31,3.38E-28
70,chr21,34968105,34968605,501,*,8.15,5.31,9.05,-3.74,2.78E-31,3.63E-28
71,chr21,41727246,41727746,501,*,8.44,5.82,9.32,-3.5,3.81E-31,4.91E-28
72,chr10,17229291,17229791,501,*,8.11,5.06,9.02,-3.96,4.29E-31,5.44E-28
73,chr11,1072612,1073112,501,*,7.89,4.31,8.83,-4.52,4.50E-31,5.63E-28
74,chr7,157300575,157301075,501,*,8.32,5.28,9.23,-3.95,5.60E-31,6.91E-28
75,chr3,48662998,48663498,501,*,9.22,7,10.05,-3.05,5.76E-31,7.01E-28
76,chr2,70086334,70086834,501,*,9.62,7.65,10.42,-2.77,6.11E-31,7.34E-28
77,chr7,51315797,51316297,501,*,8.45,5.62,9.35,-3.73,6.60E-31,7.83E-28
78,chr14,90513039,90513539,501,*,7.5,3.7,8.45,-4.75,1.76E-30,2.06E-27
79,chr20,64188565,64189065,501,*,8.44,5.7,9.33,-3.63,2.35E-30,2.71E-27
80,chrX,2402138,2402638,501,*,9.07,6.87,9.9,-3.03,4.57E-30,5.22E-27
81,chr12,89351430,89351930,501,*,9.02,5.72,9.95,-4.23,6.56E-30,7.39E-27
82,chr1,156103874,156104374,501,*,7.87,4.81,8.78,-3.97,7.06E-30,7.87E-27
83,chr5,140175287,140175787,501,*,8.79,6.43,9.64,-3.21,9.60E-30,1.06E-26
84,chr17,81871539,81872039,501,*,8.74,6.18,9.61,-3.43,9.85E-30,1.07E-26
85,chr11,118912442,118912942,501,*,9.11,6.92,9.94,-3.02,1.05E-29,1.13E-26
86,chr1,43007922,43008422,501,*,9.5,7.31,10.33,-3.02,1.23E-29,1.30E-26
87,chr12,52873710,52874210,501,*,8.94,6.53,9.79,-3.27,1.49E-29,1.56E-26
88,chr5,132095174,132095674,501,*,8.36,5.84,9.23,-3.39,1.87E-29,1.94E-26
89,chr7,1537469,1537969,501,*,8.21,5.55,9.09,-3.54,1.93E-29,1.98E-26
90,chr1,202106335,202106835,501,*,8.21,5.33,9.11,-3.78,2.07E-29,2.10E-26
91,chr12,6295852,6296352,501,*,8.55,6.03,9.42,-3.39,2.92E-29,2.93E-26
92,chr10,11875446,11875946,501,*,8.27,5.32,9.17,-3.85,3.02E-29,3.00E-26
93,chr12,1810935,1811435,501,*,8.13,5.36,9.02,-3.66,3.18E-29,3.13E-26
94,chr5,132459767,132460267,501,*,8.77,6.55,9.6,-3.05,6.17E-29,5.99E-26
95,chr11,2929934,2930434,501,*,9.17,7.1,9.98,-2.89,6.49E-29,6.25E-26
96,chr6,30743393,30743893,501,*,9.12,6.91,9.95,-3.04,7.37E-29,7.01E-26
97,chr17,65438234,65438734,501,*,8.75,6.17,9.63,-3.46,8.42E-29,7.93E-26
98,chr2,46803646,46804146,501,*,8.92,6.68,9.76,-3.08,9.28E-29,8.65E-26
99,chr3,170908808,170909308,501,*,8.68,6.43,9.52,-3.09,1.00E-28,9.26E-26
100,chr19,5790733,5791233,501,*,8.11,5.45,8.99,-3.53,1.63E-28,1.49E-25
101,chr20,47972657,47973157,501,*,8.71,6.38,9.56,-3.18,1.96E-28,1.77E-25
102,chr5,672310,672810,501,*,7.9,4.25,8.84,-4.59,3.73E-28,3.34E-25
103,chr22,19881234,19881734,501,*,8.02,5.29,8.91,-3.62,4.20E-28,3.72E-25
104,chr21,45364989,45365489,501,*,9.6,6.94,10.48,-3.54,4.25E-28,3.73E-25
105,chr14,68694793,68695293,501,*,8.44,6.04,9.29,-3.25,6.03E-28,5.25E-25
106,chr19,13841166,13841666,501,*,9.11,6.65,9.97,-3.32,6.92E-28,5.97E-25
107,chr9,133127721,133128221,501,*,8.4,5.74,9.28,-3.54,7.18E-28,6.13E-25
108,chr9,21995635,21996135,501,*,7.9,4.95,8.8,-3.85,7.63E-28,6.46E-25
109,chr3,157129802,157130302,501,*,9.14,7.05,9.96,-2.91,8.18E-28,6.85E-25
110,chr17,81072331,81072831,501,*,8.24,5.68,9.12,-3.44,1.16E-27,9.60E-25
111,chr1,58576250,58576750,501,*,8.65,6.02,9.53,-3.51,1.17E-27,9.60E-25
112,chr3,124835304,124835804,501,*,8.91,6.59,9.76,-3.17,1.27E-27,1.03E-24
113,chr11,69825386,69825886,501,*,8.32,5.79,9.19,-3.4,1.28E-27,1.03E-24
114,chr17,75844817,75845317,501,*,8.66,6.4,9.5,-3.1,1.50E-27,1.19E-24
115,chr9,83979678,83980178,501,*,9.11,6.91,9.94,-3.03,1.50E-27,1.19E-24
116,chr5,179820127,179820627,501,*,9.51,7.4,10.34,-2.94,1.53E-27,1.20E-24
117,chr5,136052915,136053415,501,*,8.49,5.96,9.36,-3.39,2.56E-27,2.00E-24
118,chr9,124861575,124862075,501,*,8.23,5.75,9.09,-3.34,2.75E-27,2.12E-24
119,chr1,19010387,19010887,501,*,8.47,6.02,9.33,-3.31,2.76E-27,2.12E-24
120,chr10,11887393,11887893,501,*,8.23,5.03,9.15,-4.11,3.86E-27,2.94E-24
121,chr14,74579004,74579504,501,*,7.88,5.1,8.77,-3.67,4.36E-27,3.29E-24
122,chr19,55338903,55339403,501,*,9.11,6.68,9.97,-3.3,5.35E-27,4.00E-24
123,chr7,151427380,151427880,501,*,7.62,4.38,8.54,-4.16,5.50E-27,4.08E-24
124,chr3,46692978,46693478,501,*,8.51,6.25,9.36,-3.11,6.29E-27,4.63E-24
125,chr1,156126637,156127137,501,*,8.5,5.93,9.37,-3.44,7.79E-27,5.69E-24
126,chr11,128466999,128467499,501,*,8.86,6.78,9.68,-2.9,1.04E-26,7.55E-24
127,chr1,159924935,159925435,501,*,8.1,5.52,8.97,-3.45,1.05E-26,7.55E-24
128,chr8,26448668,26449168,501,*,8.11,4.96,9.02,-4.06,1.14E-26,8.16E-24
129,chr1,234724792,234725292,501,*,7.87,5.13,8.76,-3.63,1.34E-26,9.45E-24
130,chr10,71767288,71767788,501,*,7.95,5.18,8.84,-3.66,1.35E-26,9.45E-24
131,chr11,108616069,108616569,501,*,8.62,6.28,9.47,-3.19,1.36E-26,9.48E-24
132,chr5,132266004,132266504,501,*,7.84,4.76,8.75,-3.99,2.37E-26,1.64E-23
133,chr7,104944607,104945107,501,*,8.74,6.41,9.59,-3.18,2.51E-26,1.72E-23
134,chr22,23145606,23146106,501,*,7.69,4.32,8.62,-4.3,3.48E-26,2.37E-23
135,chr1,235074383,235074883,501,*,8.34,6.04,9.19,-3.14,4.04E-26,2.73E-23
136,chr17,45160948,45161448,501,*,8.55,6.34,9.39,-3.04,4.30E-26,2.89E-23
137,chr11,10658483,10658983,501,*,8.19,5.37,9.09,-3.72,4.42E-26,2.95E-23
138,chr9,128099104,128099604,501,*,7.82,4.43,8.75,-4.32,4.49E-26,2.97E-23
139,chr20,5065625,5066125,501,*,9.07,7.15,9.86,-2.71,4.82E-26,3.16E-23
140,chr17,48492807,48493307,501,*,8.2,5.7,9.07,-3.37,4.96E-26,3.23E-23
141,chr3,32420547,32421047,501,*,8.23,5.69,9.1,-3.41,5.30E-26,3.44E-23
142,chr9,129576537,129577037,501,*,8.02,5.32,8.9,-3.58,6.21E-26,3.99E-23
143,chr9,129483194,129483694,501,*,8.1,5.24,9,-3.76,6.43E-26,4.11E-23
144,chr10,97069151,97069651,501,*,8.7,6.42,9.55,-3.13,7.31E-26,4.64E-23
145,chr14,68564501,68565001,501,*,8.43,5.82,9.31,-3.49,8.26E-26,5.20E-23
146,chr13,110954700,110955200,501,*,8.7,6.37,9.55,-3.18,9.12E-26,5.71E-23
147,chr17,43579032,43579532,501,*,8.55,6.4,9.37,-2.97,1.16E-25,7.20E-23
148,chr11,120121623,120122123,501,*,8.37,5.78,9.25,-3.47,1.34E-25,8.27E-23
149,chr17,40100054,40100554,501,*,8.34,5.7,9.22,-3.52,1.38E-25,8.48E-23
150,chr20,51562530,51563030,501,*,8.18,5.2,9.09,-3.89,1.78E-25,1.08E-22
151,chr7,75983785,75984285,501,*,8.05,4.92,8.96,-4.04,1.88E-25,1.14E-22
152,chr11,69840834,69841334,501,*,7.92,5.27,8.8,-3.53,1.93E-25,1.16E-22
153,chr4,184844935,184845435,501,*,7.66,4.76,8.56,-3.8,2.04E-25,1.22E-22
